Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2015",,,,,,,,,,,,, release date: 9/29/2017
,,,,,,,,,,,,,
"SOURCE: 2015 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see http://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,
"For definitions, see http://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,,,,
21,Kentucky,08:  <500,"66,324","72,490","696,183",G,"24,946,243",G,,,,,
21,Kentucky,09:  500+,"2,492","19,355","883,294",G,"38,794,823",G,,,,,
22,Louisiana,01:  Total,"81,513","105,575","1,724,973",G,"76,684,760",G,,,,,
22,Louisiana,02:  0-4,"44,036","44,127","75,509",G,"3,130,392",G,,,,,
22,Louisiana,03:  5-9,"14,861","15,009","97,798",G,"3,354,728",G,,,,,
22,Louisiana,04:  10-19,"9,239","9,722","123,671",G,"4,361,229",G,,,,,
22,Louisiana,05:  <20,"68,136","68,858","296,978",G,"10,846,349",G,,,,,
22,Louisiana,06:  20-99,"8,908","11,395","339,483",G,"12,773,040",G,,,,,
22,Louisiana,07:  100-499,"2,170","6,128","281,005",G,"12,647,457",G,,,,,
22,Louisiana,08:  <500,"79,214","86,381","917,466",G,"36,266,846",G,,,,,
22,Louisiana,09:  500+,"2,299","19,194","807,507",G,"40,417,914",G,,,,,
23,Maine,01:  Total,"33,622","40,801","500,549",G,"20,413,159",G,,,,,
23,Maine,02:  0-4,"20,864","20,893","31,476",G,"1,281,556",G,,,,,
23,Maine,03:  5-9,"5,250","5,310","34,331",G,"1,141,630",G,,,,,
23,Maine,04:  10-19,"3,178","3,322","42,665",G,"1,445,833",G,,,,,
23,Maine,05:  <20,"29,292","29,525","108,472",G,"3,869,019",G,,,,,
23,Maine,06:  20-99,"2,600","3,678","95,763",G,"3,474,577",G,,,,,
23,Maine,07:  100-499,632,"2,226","80,423",G,"3,085,101",G,,,,,
23,Maine,08:  <500,"32,524","35,429","284,658",G,"10,428,697",G,,,,,
23,Maine,09:  500+,"1,098","5,372","215,891",G,"9,984,462",G,,,,,
24,Maryland,01:  Total,"109,021","137,204","2,239,817",G,"118,496,858",G,,,,,
24,Maryland,02:  0-4,"62,684","62,764","102,231",G,"4,864,440",G,,,,,
24,Maryland,03:  5-9,"18,065","18,219","118,823",G,"4,817,082",G,,,,,
24,Maryland,04:  10-19,"11,662","12,090","155,497",G,"6,822,828",G,,,,,
24,Maryland,05:  <20,"92,411","93,073","376,551",G,"16,504,350",G,,,,,
24,Maryland,06:  20-99,"10,972","13,216","408,370",G,"19,427,927",G,,,,,
24,Maryland,07:  100-499,"2,811","6,747","339,501",G,"17,957,698",G,,,,,
24,Maryland,08:  <500,"106,194","113,036","1,124,422",G,"53,889,975",G,,,,,
24,Maryland,09:  500+,"2,827","24,168","1,115,395",G,"64,606,883",G,,,,,
25,Massachusetts,01:  Total,"141,589","175,225","3,167,329",G,"198,026,611",G,,,,,
25,Massachusetts,02:  0-4,"82,235","82,378","134,165",G,"7,242,468",G,,,,,
25,Massachusetts,03:  5-9,"24,404","24,661","160,372",G,"7,145,317",G,,,,,
25,Massachusetts,04:  10-19,"14,765","15,343","197,102",G,"9,387,019",G,,,,,
25,Massachusetts,05:  <20,"121,404","122,382","491,639",G,"23,774,804",G,,,,,
25,Massachusetts,06:  20-99,"13,442","16,095","504,047",G,"27,128,865",G,,,,,
25,Massachusetts,07:  100-499,"3,517","8,590","464,854",G,"28,283,866",G,,,,,
25,Massachusetts,08:  <500,"138,363","147,067","1,460,540",G,"79,187,535",G,,,,,
25,Massachusetts,09:  500+,"3,226","28,158","1,706,789",G,"118,839,076",G,,,,,
26,Michigan,01:  Total,"173,309","219,627","3,725,280",G,"174,873,962",G,,,,,
26,Michigan,02:  0-4,"98,976","99,093","162,222",G,"6,914,291",G,,,,,
26,Michigan,03:  5-9,"30,941","31,233","204,532",G,"7,275,006",G,,,,,
26,Michigan,04:  10-19,"19,275","20,129","258,922",G,"9,860,294",G,,,,,
26,Michigan,05:  <20,"149,192","150,455","625,676",G,"24,049,591",G,,,,,
26,Michigan,06:  20-99,"16,937","21,884","643,337",G,"26,154,981",G,,,,,
26,Michigan,07:  100-499,"3,918","11,425","565,265",G,"25,759,781",G,,,,,
26,Michigan,08:  <500,"170,047","183,764","1,834,278",G,"75,964,353",G,,,,,
26,Michigan,09:  500+,"3,262","35,863","1,891,002",G,"98,909,609",G,,,,,
27,Minnesota,01:  Total,"118,525","148,666","2,612,314",G,"133,092,716",G,,,,,
27,Minnesota,02:  0-4,"70,335","70,396","105,780",G,"4,754,045",G,,,,,
27,Minnesota,03:  5-9,"18,492","18,715","121,694",G,"4,459,960",G,,,,,
27,Minnesota,04:  10-19,"12,175","12,702","163,440",G,"6,141,891",G,,,,,
27,Minnesota,05:  <20,"101,002","101,813","390,914",G,"15,355,896",G,,,,,
27,Minnesota,06:  20-99,"11,769","15,017","448,170",G,"18,647,495",G,,,,,
27,Minnesota,07:  100-499,"2,969","8,642","410,019",G,"18,411,937",G,,,,,
27,Minnesota,08:  <500,"115,740","125,472","1,249,103",G,"52,415,328",G,,,,,
27,Minnesota,09:  500+,"2,785","23,194","1,363,211",G,"80,677,388",G,,,,,
28,Mississippi,01:  Total,"44,424","58,662","926,391",G,"33,948,151",G,,,,,
28,Mississippi,02:  0-4,"24,336","24,375","43,736",G,"1,436,838",G,,,,,
28,Mississippi,03:  5-9,"8,206","8,304","53,769",G,"1,590,073",G,,,,,
28,Mississippi,04:  10-19,"4,859","5,187","64,453",G,"2,006,590",G,,,,,
28,Mississippi,05:  <20,"37,401","37,866","161,958",G,"5,033,501",G,,,,,
28,Mississippi,06:  20-99,"4,108","5,466","148,026",G,"4,895,275",G,,,,,
28,Mississippi,07:  100-499,"1,134","3,363","124,859",G,"4,487,130",G,,,,,
28,Mississippi,08:  <500,"42,643","46,695","434,843",G,"14,415,906",G,,,,,
28,Mississippi,09:  500+,"1,781","11,967","491,548",G,"19,532,245",G,,,,,
29,Missouri,01:  Total,"124,388","158,191","2,442,316",G,"109,135,528",G,,,,,
29,Missouri,02:  0-4,"77,174","77,286","118,989",G,"3,950,443",G,,,,,
29,Missouri,03:  5-9,"18,710","18,889","123,138",G,"4,045,706",G,,,,,
