"Number of Firms, Number of Establishments, Employment, Annual Payroll, and Receipts by Enterprise Employment Size for the United States and States, Totals:  2007",,,,,,,,,,,
,,,,,,,,,,,
"SOURCE: 2007 County Business Patterns and 2007 Economic Census.  For information on confidentiality protection, sampling error, and nonsampling error, see https://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,
"For definitions, see https://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,
,ENTERPRISE,,,,,ANNUAL,ANNUAL,,,,
,EMPLOYMENT ,NUMBER,NUMBER OF,,EMPLOYMENT,PAYROLL,PAYROLL,RECEIPTS,RECEIPTS,,
AREA, SIZE,OF FIRMS,ESTABLISHMENTS,EMPLOYMENT,NOISE FLAG,"($1,000)",NOISE FLAG,"($1,000)",NOISE FLAG,,
Maine,1:   Total,"35,776","42,506","503,789",G,"17,049,254",G,"92,160,872",G,,
,2:   0-4,"22,090","22,108","34,832",G,"1,137,017",G,"6,419,995",G,,
,3:   5-9,"5,927","5,990","39,024",G,"1,088,376",G,"5,252,890",G,,
,4:   10-19,"3,501","3,685","46,295",G,"1,346,070",G,"6,126,112",G,,
,5:   <20,"31,518","31,783","120,151",G,"3,571,463",G,"17,798,997",G,,
,6:   20-99,"2,661","3,703","96,690",G,"3,023,779",G,"13,690,540",G,,
,7:   100-499,659,"2,293","83,782",G,"2,796,216",G,"13,063,463",G,,
,8:   <500,"34,838","37,779","300,623",G,"9,391,458",G,"44,553,000",G,,
,9:   500+,938,"4,727","203,166",G,"7,657,796",G,"47,607,872",G,,
Maryland,1:   Total,"115,301","141,332","2,239,181",G,"99,467,512",G,"492,549,009",G,,
,2:   0-4,"66,382","66,445","112,150",G,"4,557,723",G,"24,186,539",G,,
,3:   5-9,"19,794","19,977","130,036",G,"4,518,336",G,"20,389,533",G,,
,4:   10-19,"12,410","12,896","165,080",G,"6,174,448",G,"25,450,915",G,,
,5:   <20,"98,586","99,318","407,266",G,"15,250,507",G,"70,026,987",G,,
,6:   20-99,"11,247","13,780","420,928",G,"16,957,801",G,"67,182,869",G,,
,7:   100-499,"2,809","6,309","344,153",G,"15,103,802",G,"64,936,087",G,,
,8:   <500,"112,642","119,407","1,172,347",G,"47,312,110",G,"202,145,943",G,,
,9:   500+,"2,659","21,925","1,066,834",G,"52,155,402",G,"290,403,066",G,,
Massachusetts,1:   Total,"144,767","176,701","3,073,941",G,"157,235,733",G,"755,701,579",G,,
,2:   0-4,"83,810","83,908","142,745",G,"6,657,717",G,"44,999,663",G,,
,3:   5-9,"25,366","25,669","166,588",G,"6,417,320",G,"29,372,037",G,,
,4:   10-19,"15,508","16,195","207,104",G,"8,633,276",G,"35,581,514",G,,
,5:   <20,"124,684","125,772","516,437",G,"21,708,313",G,"109,953,214",G,,
,6:   20-99,"13,608","16,886","504,106",G,"23,402,360",G,"96,800,662",G,,
,7:   100-499,"3,491","8,788","448,892",G,"22,506,997",G,"104,202,172",G,,
,8:   <500,"141,783","151,446","1,469,435",G,"67,617,670",G,"310,956,048",G,,
,9:   500+,"2,984","25,255","1,604,506",G,"89,618,063",G,"444,745,531",G,,
Michigan,1:   Total,"188,485","235,422","3,687,441",G,"150,946,992",G,"897,717,277",G,,
,2:   0-4,"109,377","109,489","181,388",G,"6,683,339",G,"43,027,587",G,,
,3:   5-9,"34,161","34,594","224,474",G,"6,853,666",G,"32,730,013",G,,
,4:   10-19,"20,607","21,696","275,161",G,"8,986,885",G,"40,777,445",G,,
,5:   <20,"164,145","165,779","681,023",G,"22,523,890",G,"116,535,045",G,,
,6:   20-99,"17,327","23,144","660,245",G,"24,001,798",G,"108,753,171",G,,
,7:   100-499,"3,948","11,328","561,380",G,"20,706,810",G,"102,306,186",G,,
,8:   <500,"185,420","200,251","1,902,648",G,"67,232,498",G,"327,594,402",G,,
,9:   500+,"3,065","35,171","1,784,793",G,"83,714,494",G,"570,122,875",G,,
Minnesota,1:   Total,"123,736","151,526","2,525,900",G,"107,167,906",G,"608,141,273",G,,
,2:   0-4,"73,928","74,002","114,180",H,"4,265,577",G,"26,735,244",G,,
,3:   5-9,"19,838","20,062","130,699",G,"3,995,896",G,"22,202,979",G,,
,4:   10-19,"12,852","13,558","172,357",G,"5,436,808",G,"32,523,371",G,,
,5:   <20,"106,618","107,622","417,236",G,"13,698,281",G,"81,461,594",G,,
,6:   20-99,"11,766","15,627","445,349",G,"15,537,457",G,"77,905,911",G,,
,7:   100-499,"2,813","7,965","387,492",G,"14,977,151",G,"72,420,993",G,,
,8:   <500,"121,197","131,214","1,250,077",G,"44,212,889",G,"231,788,498",G,,
,9:   500+,"2,539","20,312","1,275,823",G,"62,955,017",G,"376,352,775",G,,
Mississippi,1:   Total,"48,675","61,874","941,328",G,"28,572,483",G,"197,942,873",G,,
,2:   0-4,"27,152","27,180","48,808",G,"1,350,899",G,"9,048,480",G,,
,3:   5-9,"9,043","9,139","59,119",G,"1,453,147",G,"7,858,543",G,,
,4:   10-19,"5,385","5,661","71,523",G,"1,870,924",G,"10,343,549",G,,
,5:   <20,"41,580","41,980","179,450",G,"4,674,970",G,"27,250,572",G,,
,6:   20-99,"4,392","5,912","158,861",G,"4,506,928",G,"25,871,816",G,,
,7:   100-499,"1,132","3,376","129,626",G,"3,834,027",G,"22,697,213",G,,
,8:   <500,"47,104","51,268","467,937",G,"13,015,925",G,"75,819,601",G,,
,9:   500+,"1,571","10,606","473,391",G,"15,556,558",G,"122,123,272",G,,
Missouri,1:   Total,"122,573","154,483","2,457,827",G,"91,285,825",G,"553,021,231",G,,
,2:   0-4,"71,403","71,503","120,845",G,"3,606,728",G,"22,610,252",G,,
,3:   5-9,"20,654","20,862","135,345",G,"3,812,002",G,"20,015,221",G,,
,4:   10-19,"13,080","13,727","173,957",G,"5,227,512",G,"25,824,559",G,,
,5:   <20,"105,137","106,092","430,147",G,"12,646,242",G,"68,450,032",G,,
,6:   20-99,"11,854","15,862","441,536",G,"14,119,115",G,"77,242,226",G,,
,7:   100-499,"2,787","7,956","335,395",G,"11,782,418",G,"58,706,059",G,,
